url,brand,name,sizes,image_article,status
https://www.intersport.no/13-fishing-black-betty-freefall-ghost-r-25-lh-alle-124137,13-fishing,13 FISHING Black Betty FreeFall Ghost R 2.5 LH Alle,,13-fishing-124137,ok
https://www.intersport.no/13-fishing-wicked-longstem-ice-combo-25-m-alle-124151,13,13 FISHING Wicked Longstem Ice Combo 25&quot; M Alle,,13-124151,ok
https://www.intersport.no/13-fishing-concept-a3-bc-631-lh-300-alle-125114,13,13 FISHING Concept A3 BC 6.3:1 LH 300 Alle,,13-125114,ok
https://www.intersport.no/13-fishing-concept-a-bc-831-lh-no-color-alle-125120,13,13 FISHING Concept A BC 8.3:1 LH No color Alle,,13-125120,ok
https://www.intersport.no/13-fishing-fate-quest-spinning-orret-8-l-3-14g-4-delt-alle-125190,13-fishing,13 FISHING Fate Quest Spinning Ørret 8&#x27; L 3-14g 4-delt Alle,,13-fishing-125190,ok
https://www.intersport.no/13-fishing-fate-quest-spinning-laks-11-h-20-50g-4-delt-alle-125194,13-fishing,13 FISHING Fate Quest Spinning Laks 11&#x27; H 20-50g 4-delt Alle,,13-fishing-125194,ok
https://www.intersport.no/13-fishing-fate-black-spinning-60-183cm-l-2-8g-2-delt-alle-125196,13,13 FISHING Fate Black Spinning 6&#x27;0 183cm L 2-8g 2-delt Alle,,13-125196,ok
https://www.intersport.no/13-fishing-fate-black-spinning-70-213cm-ml-5-15g-2-delt-alle-125198,13,13 FISHING Fate Black Spinning 7&#x27;0 213cm ML 5-15g 2-delt Alle,,13-125198,ok
https://www.intersport.no/13-fishing-fate-black-spinning-70-213cm-m-10-30g-2-delt-alle-125199,13,13 FISHING Fate Black Spinning 7&#x27;0 213cm M 10-30g 2-delt Alle,,13-125199,ok
https://www.intersport.no/13-fishing-fate-black-casting-66-198cm-m-7-21g-alle-125211,13,13 FISHING Fate Black Casting 6&#x27;6 198cm M 7-21g Alle,,13-125211,ok
https://www.intersport.no/13-fishing-fate-black-casting-91-277cm-xh-56-170g-2-delt-alle-125218,13,13 FISHING Fate Black Casting 9&#x27;1 277cm XH 56-170g 2-delt Alle,,13-125218,ok
https://www.intersport.no/13-fishing-defy-quest-spinning-orret-8-3-15g-l-3-delt-alle-125219,13,13 FISHING Defy Quest Spinning Ørret 8&#x27; 3-15g L 3-delt Alle,,13-125219,ok
https://www.intersport.no/13-fishing-defy-quest-spinning-orret-sjoorret-9-7-21g-ml-3-delt-alle-125220,13,13 FISHING Defy Quest Spinning Ørret / Sjøørret 9&#x27; 7-21g ML 3-delt Alle,,13-125220,ok
https://www.intersport.no/13-fishing-defy-quest-spinning-kyst-sjo-14-40g-mh-3-delt-alle-125221,13,13 FISHING Defy Quest Spinning Kyst / Sjø 14-40g MH 3-delt Alle,,13-125221,ok
https://www.intersport.no/13-fishing-omen-boat-jigger-63-15-40lbs-11-alle-125222,13,13 FISHING Omen Boat Jigger 6&#x27;3 15-40lbs 1+1 Alle,,13-125222,ok
https://www.intersport.no/13-fishing-omen-deep-sea-boat-rod-76-225cm-20-30lbs-11-alle-125223,13,13 FISHING Omen Deep Sea Boat Rod 7&#x27;6 225cm 20-30lbs - 1+1 Alle,,13-125223,ok
https://www.intersport.no/13-fishing-omen-deep-sea-boat-rod-76-225cm-30-50lbs-11-alle-125224,13,13 FISHING Omen Deep Sea Boat Rod 7&#x27;6 225cm 30-50lbs - 1+1 Alle,,13-125224,ok
https://www.intersport.no/13-fishing-defy-black-spinning-70-213cm-mh-14-40g-2-delt-alle-125234,13,13 FISHING Defy Black Spinning 7&#x27;0 213cm MH 14-40g 2-delt Alle,,13-125234,ok
