url,brand,name,sizes,image_article,status
https://www.sport1.no/13-fishing-black-betty-freefall-ghost-r-25-lh-alle-124137,13-fishing,13 FISHING Black Betty FreeFall Ghost R 2.5 LH Alle,,13-fishing-124137,ok
https://www.sport1.no/13-fishing-wicked-longstem-ice-spinning-reel-alle-124139,13,13 FISHING Wicked Longstem Ice Spinning Reel Alle,,13-124139,ok
https://www.sport1.no/13-fishing-wicked-ice-rod-26-ml-alle-124144,13,13 FISHING Wicked Ice Rod 26&quot; ML Alle,,13-124144,ok
https://www.sport1.no/13-fishing-wicked-longstem-ice-combo-25-m-alle-124151,13,13 FISHING Wicked Longstem Ice Combo 25&quot; M Alle,,13-124151,ok
https://www.sport1.no/13-fishing-concept-a3-bc-631-lh-300-alle-125114,13,13 FISHING Concept A3 BC 6.3:1 LH 300 Alle,,13-125114,ok
https://www.sport1.no/13-fishing-muse-black-spinning-71-216cm-l-3-15g-2-delt-alle-125163,13,13 FISHING Muse Black Spinning 7&#x27;1 216cm L 3-15g 2-delt Alle,,13-125163,ok
https://www.sport1.no/13-fishing-muse-black-casting-86-259cm-xxh-40-130g-2-delt-alle-125167,13,13 FISHING Muse Black Casting 8&#x27;6 259cm XXH 40-130g 2-delt Alle,,13-125167,ok
https://www.sport1.no/13-fishing-omen-black-spinning-66-198cm-l-3-12g-2-delt-alle-125169,13-fishing,13 FISHING Omen Black Spinning 6&#x27;6 198cm L 3-12g 2-delt Alle,,13-fishing-125169,ok
https://www.sport1.no/13-fishing-omen-black-spinning-70-213cm-ml-5-20g-2-delt-alle-125171,13-fishing,13 FISHING Omen Black Spinning 7&#x27;0 213cm ML 5-20g 2-delt Alle,,13-fishing-125171,ok
https://www.sport1.no/13-fishing-omen-black-spinning-8-244cm-m-10-30g-2-delt-alle-125175,13-fishing,13 FISHING Omen Black Spinning 8&#x27; 244cm M 10-30g 2-delt Alle,,13-fishing-125175,ok
https://www.sport1.no/13-fishing-fate-v3-spinning-68-203cm-ml-5-15g-2-delt-alle-125185,13,13 FISHING Fate V3 Spinning 6&#x27;8 203cm ML 5-15g 2-delt Alle,,13-125185,ok
https://www.sport1.no/13-fishing-fate-v3-spinning-70-213cm-m-10-30g-2-delt-alle-125186,13,13 FISHING Fate V3 Spinning 7&#x27;0 213cm M 10-30g 2-delt Alle,,13-125186,ok
https://www.sport1.no/13-fishing-fate-v3-spinning-80-244cm-mh-15-40g-2-delt-alle-125188,13,13 FISHING Fate V3 Spinning 8&#x27;0 244cm MH 15-40g 2-delt Alle,,13-125188,ok
https://www.sport1.no/13-fishing-fate-v3-casting-610-208cm-ml-5-14g-2-delt-alle-125189,13,13 FISHING Fate V3 Casting 6&#x27;10 208cm ML 5-14g 2-delt Alle,,13-125189,ok
https://www.sport1.no/13-fishing-fate-quest-spinning-orret-8-l-3-14g-4-delt-alle-125190,13-fishing,13 FISHING Fate Quest Spinning Ørret 8&#x27; L 3-14g 4-delt Alle,,13-fishing-125190,ok
https://www.sport1.no/13-fishing-fate-quest-spinning-kyst-sjo-9-mh-14-40g-4-delt-alle-125192,13,13 FISHING Fate Quest Spinning Kyst / Sjø 9&#x27; MH 14-40g 4-delt Alle,,13-125192,ok
https://www.sport1.no/13-fishing-fate-quest-spinning-orret-sjoorret-10-ml-15-28g-4-delt-alle-125193,13,13 FISHING Fate Quest Spinning Ørret / Sjøørret 10&#x27; ML 15-28g 4-delt Alle,,13-125193,ok
https://www.sport1.no/13-fishing-fate-quest-spinning-laks-11-h-20-50g-4-delt-alle-125194,13-fishing,13 FISHING Fate Quest Spinning Laks 11&#x27; H 20-50g 4-delt Alle,,13-fishing-125194,ok
https://www.sport1.no/13-fishing-fate-quest-spinning-laks-12-h-40-80g-4-delt-alle-125195,13-fishing,13 FISHING Fate Quest Spinning Laks 12&#x27; H+ 40-80g 4-delt Alle,,13-fishing-125195,ok
https://www.sport1.no/13-fishing-fate-black-spinning-70-213cm-l-3-12g-2-delt-alle-125197,13,13 FISHING Fate Black Spinning 7&#x27;0 213cm L 3-12g 2-delt Alle,,13-125197,ok
https://www.sport1.no/13-fishing-fate-black-spinning-70-213cm-ml-5-15g-2-delt-alle-125198,13,13 FISHING Fate Black Spinning 7&#x27;0 213cm ML 5-15g 2-delt Alle,,13-125198,ok
https://www.sport1.no/13-fishing-fate-black-spinning-70-213cm-m-10-30g-2-delt-alle-125199,13,13 FISHING Fate Black Spinning 7&#x27;0 213cm M 10-30g 2-delt Alle,,13-125199,ok
https://www.sport1.no/13-fishing-fate-black-spinning-70-213cm-h-20-80g-2-delt-alle-125201,13,13 FISHING Fate Black Spinning 7&#x27;0 213cm H 20-80g 2-delt Alle,,13-125201,ok
https://www.sport1.no/13-fishing-fate-black-spinning-80-244cm-ml-5-15g-2-delt-alle-125202,13,13 FISHING Fate Black Spinning 8&#x27;0 244cm ML 5-15g 2-delt Alle,,13-125202,ok
https://www.sport1.no/13-fishing-fate-black-spinning-80-244cm-m-10-30g-2-delt-alle-125203,13,13 FISHING Fate Black Spinning 8&#x27;0 244cm M 10-30g 2-delt Alle,,13-125203,ok
https://www.sport1.no/13-fishing-fate-black-spinning-10-305cm-h-20-80g-2-delt-alle-125209,13,13 FISHING Fate Black Spinning 10&#x27; 305cm H 20-80g 2-delt Alle,,13-125209,ok
https://www.sport1.no/13-fishing-fate-black-casting-66-198cm-ml-5-15g-no-color-alle-125210,13,13 FISHING Fate Black Casting 6&#x27;6 198cm ML 5-15g No color Alle,,13-125210,ok
https://www.sport1.no/13-fishing-fate-black-casting-610-208cm-ml-5-14g-alle-125213,13,13 FISHING Fate Black Casting 6&#x27;10 208cm ML 5-14g Alle,,13-125213,ok
https://www.sport1.no/13-fishing-defy-quest-spinning-orret-8-3-15g-l-3-delt-alle-125219,13,13 FISHING Defy Quest Spinning Ørret 8&#x27; 3-15g L 3-delt Alle,,13-125219,ok
https://www.sport1.no/13-fishing-defy-quest-spinning-orret-sjoorret-9-7-21g-ml-3-delt-alle-125220,13,13 FISHING Defy Quest Spinning Ørret / Sjøørret 9&#x27; 7-21g ML 3-delt Alle,,13-125220,ok
https://www.sport1.no/13-fishing-defy-quest-spinning-kyst-sjo-14-40g-mh-3-delt-alle-125221,13,13 FISHING Defy Quest Spinning Kyst / Sjø 14-40g MH 3-delt Alle,,13-125221,ok
https://www.sport1.no/13-fishing-omen-boat-jigger-63-15-40lbs-11-alle-125222,13,13 FISHING Omen Boat Jigger 6&#x27;3 15-40lbs 1+1 Alle,,13-125222,ok
