url,brand,name,sizes,image_article,status
https://www.xxl.no/helly-hansen-isfjord-insulated-shacket-jakke-herre-bla/p/1250853_1_Style,Helly Hansen,"Isfjord Insulated Shacket, jakke, herre",2XL;L;M;S;XL,1250853,ok
https://www.xxl.no/nike-sportswear-windrunner-hood-jakke-herre-rod/p/1252084_1_Style,Nike,"Sportswear Windrunner Hood, jakke, herre",L;M;S;XL,1252084,ok
https://www.xxl.no/timberland-sherpa-lined-plaid-over-jakke-herre-rod/p/1255606_1_Style,Timberland,"Sherpa Lined Plaid Over, jakke, herre",L;S;XL;XXL;XXXL,1255606,ok
https://www.xxl.no/nike-sportswear-windrunner-hood-jakke-herre-bla/p/1252083_1_Style,Nike,"Sportswear Windrunner Hood, jakke, herre",L;M;S;XL,1252083,ok
https://www.xxl.no/nike-sportswear-windrunner-hood-jakke-herre-gronn/p/1252085_1_Style,Nike,"Sportswear Windrunner Hood, jakke, herre",L;M;S;XL,1252085,ok
https://www.xxl.no/timberland-waterproof-parka-parka-herre-gra/p/1255502_1_Style,Timberland,"Waterproof Parka, parka, herre",M;S;XS,1255502,ok
https://www.xxl.no/helly-hansen-isfjord-insulated-shacket-jakke-herre-gra/p/1250854_1_Style,Helly Hansen,"Isfjord Insulated Shacket, jakke, herre",2XL;L;M;S;XL,1250854,ok
https://www.xxl.no/timberland-down-howker-insulated-quilted-jacket-gul/p/1255500_1_Style,Timberland,Down Howker Insulated Quilted Jacket,L;M;S;XL;XXL;XXXL,1255500,ok
https://www.xxl.no/timberland-refibra-denim-chore-jac-jakke-herre-bla/p/1254809_1_Style,Timberland,"Refibra Denim Chore Jac, jakke, herre",M;S;XL;XXL,1254809,ok
https://www.xxl.no/jack-wills-kirkby-blazer-blazer-herre-gronn/p/1247495_1_Style,Jack Wills,"Kirkby Blazer, blazer, herre",L;M;S,1247495,ok
https://www.xxl.no/timberland-night-hike-jacket-jakke-unisex-svart/p/1254663_1_Style,Timberland,"Night Hike Jacket, jakke, unisex",L;M;S;XL;XS;XXL,1254663,ok
https://www.xxl.no/timberland-water-resistant-fishtai-parka-herre-mork-bla/p/1255604_1_Style,Timberland,"Water Resistant Fishtai, parka, herre",S;XL;XXL;XXXL,1255604,ok
https://www.xxl.no/the-north-face-78-low-fi-hi-tek-windjammer-vindjakke-windbreaker-herre-gra/p/1260005_1_Style,The North Face,"78 Low-Fi Hi-Tek Windjammer, vindjakke, windbreaker, herre",L;M;S,1260005,ok
https://www.xxl.no/nike-sportswear-windrunner-hood-jakke-herre-brun/p/1252082_1_Style,Nike,"Sportswear Windrunner Hood, jakke, herre",L;XXL,1252082,ok
https://www.xxl.no/lonsdale-s-less-tee-vest-svart/p/1249088_1_Style,Lonsdale,"S/Less Tee, , vest",2XL;L;M;S;XL,1249088,ok
https://www.xxl.no/everlast-softshell-jacket-softshelljakke-herre-svart/p/1251077_1_Style,Everlast,"Softshell Jacket, softshelljakke, herre",2XL;L;M;S;XL,1251077,ok
https://www.xxl.no/stormberg-marstrand-reversibel-jacket-jakke-herre-bla/p/1248605_1_Style,Stormberg,"Marstrand reversibel jacket, jakke, herre",L;M;S;XL;XXL,1248605,ok
https://www.xxl.no/nike-roscoe-full-zip-jacket-jakke-herre-svart/p/1240395_1_Style,Nike,"Roscoe Full-Zip Jacket, jakke, herre",2XL;L;M;S;XL,1240395,ok
https://www.xxl.no/stormberg-metropolitan-parka-regnjakke-herre-svart/p/1239108_1_Style,Stormberg,"Metropolitan Parka, regnjakke, herre",L;M;S;XL;XXL,1239108,ok
https://www.xxl.no/puma-essential-hooded-padded-jacket-isolasjonsjakke-svart/p/1240276_1_Style,Puma,"Essential Hooded Padded Jacket, isolasjonsjakke",L;M;S;XL;XXL,1240276,ok
https://www.xxl.no/slazenger-padded-gilet-vest-herre-svart/p/1247469_1_Style,Slazenger,"Padded Gilet, vest, herre",2XL;3XL;4XL;L;M;S;XL;XS,1247469,ok
https://www.xxl.no/nike-sportswear-windrunner-hood-jakke-herre-svart/p/1236747_1_Style,Nike,"Sportswear Windrunner Hood, jakke, herre",2XL;L;M;S;XL,1236747,ok
https://www.xxl.no/firetrap-langton-jakke-herre-svart/p/1247467_1_Style,Firetrap,"Langton, jakke, herre",2XL;3XL;L;M;S;XL,1247467,ok
https://www.xxl.no/timberland-abington-field-jacket-jakke-herre-mork-bla/p/1255363_1_Style,Timberland,"Abington Field Jacket, jakke, herre",L;M;S;XL;XXL;XXXL,1255363,ok
https://www.xxl.no/helly-hansen-chill-jacket-3-0-ytterjakke-herre-brun/p/1250819_1_Style,Helly Hansen,"Chill Jacket 3.0, ytterjakke, herre",2XL;L;M;S;XL,1250819,ok
https://www.xxl.no/timberland-lny-badge-bomber-jakke-herre-brun/p/1254598_1_Style,Timberland,"Lny Badge Bomber, jakke, herre",L;M;S;XL;XXL;XXXL,1254598,ok
https://www.xxl.no/timberland-down-howker-insulated-quilted-jacket-rod/p/1255501_1_Style,Timberland,Down Howker Insulated Quilted Jacket,L;M;S;XL;XXL;XXXL,1255501,ok
https://www.xxl.no/firetrap-kingdom-jakke-herre-svart/p/1247466_1_Style,Firetrap,"Kingdom, jakke, herre",2XL;3XL;4XL;L;M;S;XL;XS,1247466,ok
https://www.xxl.no/helly-hansen-chill-jacket-3-0-ytterjakke-herre-flerfarget/p/1250820_1_Style,Helly Hansen,"Chill Jacket 3.0, ytterjakke, herre",2XL;L;M;S;XL,1250820,ok
https://www.xxl.no/stormberg-kuopio-3-in-1-jacket-jakke-herre-bla/p/1235062_1_Style,Stormberg,"Kuopio 3-in-1 Jacket, jakke, herre",L;M;S;XL;XXL,1235062,ok
https://www.xxl.no/firetrap-pu-jacket-jakke-herre-svart/p/1249313_1_Style,Firetrap,"PU Jacket, jakke, herre",2XL;3XL;L;M;S;XL;XS,1249313,ok
https://www.xxl.no/nike-sportswear-windrunner-hood-jakke-herre-hvit/p/1236748_1_Style,Nike,"Sportswear Windrunner Hood, jakke, herre",2XL;L;M;S;XL,1236748,ok
